ride_id,driver_id,user_id,city,ride_date,distance_km,fare_amount,ride_status,driver_rating,payment_mode,fare_per_km
R10000,D282,U011,Pune,2025-08-17,19.14,362.01,Completed,4.6,UPI,18.913793103448274
R10001,D116,U518,Chennai,2025-07-17,6.47,518.71,Completed,3.5,UPI,80.17156105100464
R10002,D004,U149,Bengaluru,2025-09-09,17.39,646.31,Completed,4.5,UPI,37.165612420931566
R10003,D236,U166,Kochi,2025-09-27,18.69,415.33,Completed,3.3,UPI,22.222043873729266
R10004,D098,U123,Bengaluru,2025-07-31,7.54,669.14,Completed,4.9,Card,88.74535809018568
R10005,D069,U730,Pune,2025-09-26,4.63,528.0,Completed,3.0,UPI,114.03887688984881
R10006,D147,U063,Chennai,2025-09-14,7.52,309.85,Cancelled,4.1,UPI,41.203457446808514
R10007,D137,U583,Hyderabad,2025-10-03,4.07,584.66,Completed,3.7,UPI,143.65110565110564
R10008,D238,U585,Bengaluru,2025-09-06,1.93,584.33,Completed,4.9,UPI,302.76165803108813
R10009,D185,U748,Chennai,2025-09-27,12.4,280.23,Completed,3.6,UPI,22.5991935483871
R10010,D102,U217,Hyderabad,2025-09-07,14.9,723.23,Completed,3.1,Cash,48.538926174496645
R10011,D036,U745,Kochi,2025-09-16,13.65,731.76,Completed,4.6,Card,53.60879120879121
R10012,D052,U598,Bengaluru,2025-09-04,8.7,475.54,Completed,4.3,UPI,54.65977011494254
R10013,D039,U120,Bengaluru,2025-07-03,2.81,281.37,Completed,3.9,Cash,100.13167259786476
R10014,D234,U573,Hyderabad,2025-07-14,8.61,617.34,Completed,5.0,Cash,71.70034843205576
R10015,D250,U232,Kochi,2025-08-18,10.49,55.61,Completed,3.8,UPI,5.3012392755004765
R10016,D130,U761,Chennai,2025-10-07,12.36,387.85,Completed,3.6,UPI,31.379449838187707
R10017,D232,U730,Bengaluru,2025-09-28,16.66,570.44,Completed,3.6,UPI,34.240096038415366
R10018,D228,U799,Chennai,2025-08-08,15.86,470.17,Completed,4.4,Cash,29.64501891551072
R10019,D149,U052,Bengaluru,2025-09-16,19.42,464.09,Completed,3.5,UPI,23.897528321318227
R10020,D063,U209,Chennai,2025-08-17,5.1,509.33,Completed,3.1,Cash,99.8686274509804
R10021,D275,U561,Kochi,2025-09-20,16.2,733.23,Completed,5.0,UPI,45.26111111111111
R10022,D218,U338,Bengaluru,2025-07-23,4.5,94.28,Completed,3.8,Cash,20.95111111111111
R10023,D273,U636,Chennai,2025-07-20,5.98,624.49,Completed,3.3,UPI,104.42976588628763
R10024,D163,U653,Hyderabad,2025-08-02,7.75,583.88,Completed,4.3,UPI,75.33935483870968
R10025,D213,U213,Hyderabad,2025-08-09,12.33,440.56,Completed,4.7,UPI,35.73073803730738
R10026,D217,U579,Hyderabad,2025-09-07,16.26,368.55,Completed,4.8,UPI,22.666051660516604
R10027,D109,U045,Pune,2025-07-30,7.33,129.62,Completed,4.2,UPI,17.68349249658936
R10028,D103,U270,Pune,2025-08-04,13.82,357.85,Completed,4.9,UPI,25.893632416787266
R10029,D228,U760,Kochi,2025-08-25,7.43,409.89,Completed,4.5,UPI,55.16689098250337
R10030,D200,U295,Hyderabad,2025-08-11,5.63,91.24,Completed,3.0,UPI,16.206039076376552
R10031,D146,U480,Chennai,2025-08-17,4.75,524.17,Completed,3.2,UPI,110.35157894736841
