ride_id,driver_id,user_id,city,ride_date,distance_km,fare_amount,ride_status,driver_rating,payment_mode
R10000,D282,U011,Pune,2025-08-17,19.14,362.01,Completed,4.6,UPI
R10001,D116,U518,Chennai,2025-07-17,6.47,518.71,Completed,3.5,UPI
R10002,D004,U149,Bengaluru,2025-09-09,17.39,646.31,Completed,4.5,UPI
R10003,D236,U166,Kochi,2025-09-27,18.69,415.33,Completed,3.3,UPI
R10004,D098,U123,Bengaluru,2025-07-31,7.54,669.14,Completed,4.9,Card
R10005,D069,U730,Pune,2025-09-26,4.63,528.0,Completed,3.0,UPI
R10006,D147,U063,Chennai,2025-09-14,7.52,309.85,Cancelled,4.1,UPI
R10007,D137,U583,Hyderabad,2025-10-03,4.07,584.66,Completed,3.7,UPI
R10008,D238,U585,Bengaluru,2025-09-06,1.93,584.33,Completed,4.9,UPI
R10009,D185,U748,Chennai,2025-09-27,12.4,280.23,Completed,3.6,UPI
R10010,D102,U217,Hyderabad,2025-09-07,14.9,723.23,Completed,3.1,Cash
R10011,D036,U745,Kochi,2025-09-16,13.65,731.76,Completed,4.6,Card
R10012,D052,U598,Bengaluru,2025-09-04,8.7,475.54,Completed,4.3,UPI
R10013,D039,U120,Bengaluru,2025-07-03,2.81,281.37,Completed,3.9,Cash
R10014,D234,U573,Hyderabad,2025-07-14,8.61,617.34,Completed,5.0,Cash
R10015,D250,U232,Kochi,2025-08-18,10.49,55.61,Completed,3.8,UPI
R10016,D130,U761,Chennai,2025-10-07,12.36,387.85,Completed,3.6,UPI
R10017,D232,U730,Bengaluru,2025-09-28,16.66,570.44,Completed,3.6,UPI
R10018,D228,U799,Chennai,2025-08-08,15.86,470.17,Completed,4.4,Cash
R10019,D149,U052,Bengaluru,2025-09-16,19.42,464.09,Completed,3.5,UPI
R10020,D063,U209,Chennai,2025-08-17,5.1,509.33,Completed,3.1,Cash
R10021,D275,U561,Kochi,2025-09-20,16.2,733.23,Completed,5.0,UPI
R10022,D218,U338,Bengaluru,2025-07-23,4.5,94.28,Completed,3.8,Cash
R10023,D273,U636,Chennai,2025-07-20,5.98,624.49,Completed,3.3,UPI
R10024,D163,U653,Hyderabad,2025-08-02,7.75,583.88,Completed,4.3,UPI
R10025,D213,U213,Hyderabad,2025-08-09,12.33,440.56,Completed,4.7,UPI
R10026,D217,U579,Hyderabad,2025-09-07,16.26,368.55,Completed,4.8,UPI
R10027,D109,U045,Pune,2025-07-30,7.33,129.62,Completed,4.2,UPI
R10028,D103,U270,Pune,2025-08-04,13.82,357.85,Completed,4.9,UPI
R10029,D228,U760,Kochi,2025-08-25,7.43,409.89,Completed,4.5,UPI
R10030,D200,U295,Hyderabad,2025-08-11,5.63,91.24,Completed,3.0,UPI
R10031,D146,U480,Chennai,2025-08-17,4.75,524.17,Completed,3.2,UPI
R10032,D273,U048,Bengaluru,2025-09-25,4.5,615.49,Completed,4.0,UPI
R10033,D074,U624,Bengaluru,2025-09-23,6.95,404.22,Completed,3.4,Cash
R10034,D168,U297,Hyderabad,2025-07-20,1.69,595.54,Cancelled,4.0,UPI
R10035,D053,U096,Kochi,2025-07-02,18.35,703.16,Completed,4.2,Card
R10036,D134,U213,Bengaluru,2025-07-29,10.2,100.65,Cancelled,4.5,Cash
R10037,D161,U643,Kochi,2025-09-05,4.31,546.64,Completed,3.3,UPI
R10038,D031,U430,Hyderabad,2025-08-24,6.76,105.41,Completed,3.2,Card
R10039,D179,U568,Pune,2025-09-20,17.53,55.33,Completed,4.0,UPI
R10040,D011,U567,Hyderabad,2025-07-15,10.6,585.0,Completed,3.4,UPI
R10041,D234,U693,Bengaluru,2025-07-29,10.59,93.5,Completed,3.9,Cash
R10042,D180,U313,Hyderabad,2025-08-04,9.53,412.2,Completed,4.6,UPI
R10043,D167,U337,Chennai,2025-08-02,15.59,738.3,Completed,3.2,UPI
R10044,D170,U003,Pune,2025-08-30,17.56,633.39,Cancelled,4.7,UPI
R10045,D279,U310,Hyderabad,2025-09-15,5.03,550.14,Completed,3.0,Card
R10046,D165,U206,Bengaluru,2025-08-08,19.05,226.58,Completed,4.6,UPI
R10047,D209,U239,Bengaluru,2025-07-31,11.91,125.97,Completed,3.9,UPI
R10048,D185,U241,Chennai,2025-08-01,19.79,104.67,Completed,3.3,Cash
R10049,D191,U171,Pune,2025-09-04,6.58,582.06,Completed,3.1,UPI
R10050,D190,U052,Chennai,2025-08-24,9.9,702.45,Completed,3.3,Card
R10051,D203,U035,Chennai,2025-08-18,9.48,361.33,Cancelled,4.8,UPI
R10052,D300,U424,Pune,2025-10-07,9.94,672.82,Cancelled,3.6,Cash
R10053,D140,U649,Pune,2025-08-19,11.54,446.49,Completed,4.5,UPI
R10054,D180,U400,Pune,2025-09-24,4.13,281.9,Cancelled,4.6,Cash
R10055,D273,U107,Kochi,2025-08-02,13.73,345.02,Completed,4.7,UPI
R10056,D028,U330,Kochi,2025-10-04,4.72,299.45,Completed,3.7,UPI
R10057,D270,U502,Kochi,2025-08-01,18.26,758.82,Completed,4.7,Cash
R10058,D273,U410,Hyderabad,2025-09-26,4.86,785.12,Completed,4.1,Card
R10059,D212,U285,Bengaluru,2025-08-25,10.63,634.0,Completed,4.9,UPI
R10060,D175,U057,Hyderabad,2025-08-01,7.15,514.55,Completed,4.3,Cash
R10061,D134,U600,Hyderabad,2025-08-23,8.86,693.61,Completed,3.2,Cash
R10062,D187,U291,Bengaluru,2025-08-11,14.66,513.57,Cancelled,3.4,Cash
R10063,D126,U751,Hyderabad,2025-07-08,1.26,492.29,Completed,4.0,UPI
R10064,D181,U331,Hyderabad,2025-10-09,4.38,229.84,Completed,4.2,UPI
R10065,D030,U397,Bengaluru,2025-08-31,17.47,598.73,Completed,4.5,Cash
R10066,D173,U413,Kochi,2025-09-21,5.14,689.89,Completed,3.2,Cash
R10067,D003,U303,Chennai,2025-08-20,17.46,320.1,Completed,4.2,UPI
R10068,D248,U208,Pune,2025-07-19,13.13,772.2,Completed,4.6,Card
R10069,D130,U504,Bengaluru,2025-09-11,3.97,246.27,Completed,3.5,Cash
R10070,D264,U008,Bengaluru,2025-09-03,19.62,117.05,Completed,3.1,Cash
R10071,D241,U610,Bengaluru,2025-08-20,18.4,335.78,Completed,3.6,Cash
R10072,D245,U448,Bengaluru,2025-07-26,2.44,436.36,Completed,3.4,Cash
R10073,D040,U611,Chennai,2025-09-08,13.22,695.4,Completed,4.0,UPI
R10074,D215,U498,Bengaluru,2025-09-17,18.27,563.8,Cancelled,4.7,Card
R10075,D137,U174,Pune,2025-09-07,3.89,490.21,Completed,4.5,Cash
R10076,D077,U083,Chennai,2025-07-10,10.09,198.21,Completed,4.1,UPI
R10077,D154,U210,Chennai,2025-08-27,4.64,461.93,Completed,4.5,Card
R10078,D250,U244,Hyderabad,2025-07-26,6.3,262.89,Completed,4.4,UPI
R10079,D103,U430,Hyderabad,2025-07-25,19.28,628.1,Completed,4.8,UPI
R10080,D295,U673,Hyderabad,2025-08-09,6.31,555.86,Completed,3.3,UPI
R10081,D300,U436,Bengaluru,2025-07-04,16.11,790.43,Completed,4.9,Card
R10082,D003,U774,Bengaluru,2025-09-05,2.08,196.78,Completed,4.6,UPI
R10083,D260,U623,Hyderabad,2025-09-15,2.27,304.92,Completed,4.2,UPI
R10084,D158,U727,Kochi,2025-10-08,9.33,149.31,Completed,3.6,UPI
R10085,D273,U039,Hyderabad,2025-09-30,15.04,139.93,Completed,3.6,UPI
R10086,D219,U354,Pune,2025-09-13,14.81,292.12,Completed,3.3,Card
R10087,D098,U368,Bengaluru,2025-07-26,3.34,269.26,Completed,3.0,UPI
R10088,D084,U460,Hyderabad,2025-08-02,13.1,635.51,Completed,4.0,Cash
R10089,D059,U590,Chennai,2025-08-01,3.62,540.39,Completed,3.0,UPI
R10090,D103,U741,Hyderabad,2025-09-05,9.62,264.79,Completed,3.2,UPI
R10091,D067,U336,Bengaluru,2025-08-06,16.13,148.6,Completed,4.7,Cash
R10092,D166,U468,Bengaluru,2025-08-04,15.47,674.52,Cancelled,3.1,Cash
R10093,D085,U616,Kochi,2025-08-04,12.21,724.93,Completed,3.1,UPI
R10094,D081,U759,Pune,2025-10-01,11.27,342.88,Completed,4.3,Cash
R10095,D014,U575,Pune,2025-07-15,13.04,635.23,Completed,4.5,Card
R10096,D097,U280,Hyderabad,2025-07-08,14.55,382.17,Completed,5.0,Card
R10097,D002,U442,Pune,2025-09-10,15.97,150.19,Completed,4.8,Cash
R10098,D214,U468,Kochi,2025-09-03,19.62,477.55,Completed,4.3,UPI
R10099,D168,U274,Kochi,2025-08-08,6.87,599.34,Completed,3.1,UPI
R10100,D233,U414,Chennai,2025-09-28,12.88,705.3,Completed,4.7,UPI
R10101,D014,U769,Chennai,2025-07-15,9.87,402.59,Completed,3.1,UPI
R10102,D093,U200,Pune,2025-08-25,2.21,611.96,Completed,3.5,Card
R10103,D088,U057,Bengaluru,2025-07-20,18.17,90.32,Completed,3.2,UPI
R10104,D074,U294,Kochi,2025-08-16,17.41,55.07,Completed,4.2,Cash
R10105,D088,U227,Kochi,2025-09-06,3.08,284.6,Completed,4.5,UPI
R10106,D259,U568,Hyderabad,2025-07-28,1.95,109.05,Completed,4.9,Cash
R10107,D016,U734,Bengaluru,2025-07-26,19.84,275.36,Completed,4.8,UPI
R10108,D147,U552,Pune,2025-07-10,19.41,262.43,Completed,3.7,UPI
R10109,D128,U740,Hyderabad,2025-09-12,5.39,331.61,Completed,3.9,UPI
R10110,D039,U168,Hyderabad,2025-08-01,13.6,216.86,Completed,3.9,UPI
R10111,D065,U653,Chennai,2025-07-18,9.02,508.69,Completed,4.4,Cash
R10112,D016,U697,Hyderabad,2025-07-24,6.74,367.21,Completed,4.3,Cash
R10113,D220,U030,Chennai,2025-08-29,6.56,267.12,Completed,3.2,UPI
R10114,D196,U373,Kochi,2025-08-30,14.05,215.25,Cancelled,3.6,UPI
R10115,D236,U470,Kochi,2025-07-29,16.91,50.8,Completed,4.9,UPI
R10116,D213,U154,Pune,2025-08-16,9.28,305.92,Completed,3.3,Card
R10117,D112,U566,Kochi,2025-09-20,2.14,269.32,Completed,3.3,Cash
R10118,D228,U263,Chennai,2025-08-06,11.31,157.84,Completed,3.2,Cash
R10119,D135,U304,Hyderabad,2025-07-21,11.86,390.88,Completed,4.6,UPI
R10120,D085,U638,Pune,2025-09-25,6.0,570.69,Completed,4.9,Cash
R10121,D157,U250,Chennai,2025-07-13,16.01,667.04,Completed,5.0,UPI
R10122,D034,U418,Hyderabad,2025-08-08,1.03,264.73,Completed,4.6,Cash
R10123,D240,U780,Bengaluru,2025-07-25,5.59,567.64,Completed,4.8,UPI
R10124,D040,U039,Bengaluru,2025-07-14,7.72,395.28,Completed,3.4,UPI
R10125,D145,U680,Pune,2025-08-16,17.44,299.32,Completed,4.8,Card
R10126,D208,U365,Pune,2025-07-08,15.86,550.02,Completed,3.2,UPI
R10127,D199,U114,Kochi,2025-10-06,11.74,420.32,Completed,3.4,UPI
R10128,D270,U014,Kochi,2025-08-11,17.45,291.65,Completed,4.1,UPI
R10129,D130,U758,Kochi,2025-07-13,11.43,793.21,Completed,4.7,UPI
R10130,D111,U632,Bengaluru,2025-10-01,4.19,640.28,Completed,3.0,Cash
R10131,D018,U034,Kochi,2025-09-12,3.54,143.67,Completed,3.3,Card
R10132,D276,U776,Hyderabad,2025-09-26,18.11,769.91,Completed,4.0,Cash
R10133,D088,U192,Pune,2025-08-28,10.57,477.49,Completed,3.6,UPI
R10134,D051,U488,Chennai,2025-10-09,3.59,225.82,Completed,4.8,Cash
R10135,D238,U554,Kochi,2025-10-09,6.0,552.32,Completed,4.6,Cash
R10136,D172,U035,Chennai,2025-08-22,1.29,92.52,Completed,4.9,UPI
R10137,D007,U044,Chennai,2025-07-11,13.84,211.45,Completed,3.8,UPI
R10138,D264,U047,Hyderabad,2025-09-19,18.93,519.65,Completed,4.4,UPI
R10139,D119,U530,Pune,2025-07-04,2.5,796.2,Completed,4.3,UPI
R10140,D223,U092,Chennai,2025-08-21,12.76,526.68,Completed,4.6,UPI
R10141,D097,U544,Kochi,2025-07-12,3.61,242.65,Completed,3.5,Card
R10142,D177,U560,Chennai,2025-09-11,15.37,328.48,Completed,3.6,UPI
R10143,D111,U737,Bengaluru,2025-07-04,16.94,133.86,Completed,3.9,Cash
R10144,D014,U585,Bengaluru,2025-07-20,7.75,698.37,Completed,4.7,Cash
R10145,D075,U469,Chennai,2025-07-21,8.85,639.48,Cancelled,4.1,UPI
R10146,D058,U787,Hyderabad,2025-07-09,9.97,650.64,Completed,4.5,Cash
R10147,D035,U248,Bengaluru,2025-07-05,18.55,626.71,Completed,3.8,UPI
R10148,D272,U120,Pune,2025-08-20,7.7,220.57,Completed,4.8,Cash
R10149,D112,U540,Chennai,2025-07-16,7.73,794.91,Completed,3.9,UPI
R10150,D123,U022,Hyderabad,2025-07-25,2.88,439.57,Completed,4.7,UPI
R10151,D095,U592,Kochi,2025-08-06,8.75,439.24,Completed,3.8,Cash
R10152,D245,U468,Hyderabad,2025-08-10,1.3,497.35,Completed,4.9,UPI
R10153,D182,U442,Kochi,2025-09-23,14.66,488.12,Cancelled,3.2,Cash
R10154,D221,U784,Kochi,2025-08-17,6.01,164.32,Completed,4.1,UPI
R10155,D292,U465,Hyderabad,2025-08-22,10.66,562.5,Completed,4.6,UPI
R10156,D042,U454,Bengaluru,2025-09-10,1.96,704.94,Cancelled,4.9,UPI
R10157,D091,U486,Hyderabad,2025-09-07,11.98,378.71,Completed,4.9,UPI
R10158,D253,U341,Chennai,2025-10-05,18.59,294.73,Cancelled,4.8,UPI
R10159,D252,U304,Hyderabad,2025-08-20,16.0,373.24,Completed,4.2,UPI
R10160,D253,U135,Kochi,2025-07-31,2.99,345.15,Completed,3.3,Cash
R10161,D025,U430,Kochi,2025-07-25,11.85,702.57,Completed,4.0,UPI
R10162,D152,U331,Hyderabad,2025-09-02,4.04,534.7,Completed,4.6,UPI
R10163,D294,U406,Hyderabad,2025-08-15,16.58,559.17,Completed,4.0,Cash
R10164,D107,U528,Pune,2025-09-22,13.15,148.97,Completed,3.6,Cash
R10165,D033,U616,Chennai,2025-08-30,7.96,342.28,Completed,3.2,UPI
R10166,D027,U638,Chennai,2025-08-28,11.75,223.95,Completed,4.1,UPI
R10167,D275,U337,Bengaluru,2025-07-26,14.34,125.76,Completed,5.0,UPI
R10168,D252,U274,Pune,2025-08-31,15.06,454.58,Completed,4.2,Cash
R10169,D130,U132,Chennai,2025-08-27,9.88,563.51,Completed,4.0,UPI
R10170,D264,U233,Pune,2025-07-15,2.01,346.12,Completed,3.8,Card
R10171,D195,U705,Bengaluru,2025-07-13,16.42,737.45,Completed,3.8,Card
R10172,D055,U617,Chennai,2025-07-13,3.93,579.39,Completed,3.7,Cash
R10173,D122,U655,Chennai,2025-09-13,18.2,699.33,Completed,3.8,Cash
R10174,D037,U537,Kochi,2025-07-01,14.55,273.81,Completed,4.8,UPI
R10175,D225,U705,Bengaluru,2025-09-08,2.54,334.31,Completed,3.7,UPI
R10176,D143,U358,Bengaluru,2025-09-14,19.77,574.11,Completed,4.1,UPI
R10177,D178,U115,Bengaluru,2025-07-03,9.67,520.46,Completed,3.5,UPI
R10178,D064,U088,Kochi,2025-09-19,17.53,97.3,Completed,4.3,UPI
R10179,D006,U454,Pune,2025-07-15,15.91,251.38,Completed,4.9,UPI
R10180,D162,U542,Hyderabad,2025-10-05,1.01,301.94,Completed,4.1,Card
R10181,D028,U133,Bengaluru,2025-07-17,18.83,516.55,Completed,3.5,Cash
R10182,D240,U350,Bengaluru,2025-07-05,4.4,264.19,Completed,3.5,UPI
R10183,D259,U191,Kochi,2025-07-01,12.1,743.07,Completed,3.5,UPI
R10184,D038,U494,Pune,2025-08-30,4.71,626.14,Completed,4.6,Cash
R10185,D188,U236,Pune,2025-07-16,13.71,301.45,Completed,4.1,UPI
R10186,D270,U652,Chennai,2025-07-25,13.56,750.35,Completed,3.0,Cash
R10187,D276,U161,Kochi,2025-09-03,17.59,682.97,Completed,3.6,UPI
R10188,D027,U020,Hyderabad,2025-09-25,15.09,147.39,Completed,3.5,Cash
R10189,D249,U274,Pune,2025-09-17,14.07,274.14,Completed,4.1,UPI
R10190,D176,U683,Hyderabad,2025-09-01,17.14,736.58,Completed,3.2,UPI
R10191,D157,U765,Chennai,2025-08-12,7.09,212.58,Completed,3.8,Cash
R10192,D170,U587,Pune,2025-07-14,16.98,197.87,Completed,3.7,UPI
R10193,D062,U368,Kochi,2025-07-04,19.89,755.84,Completed,4.5,UPI
R10194,D245,U603,Chennai,2025-09-26,17.02,726.67,Completed,3.5,UPI
R10195,D241,U584,Chennai,2025-08-03,16.72,542.44,Completed,4.4,UPI
R10196,D081,U014,Kochi,2025-08-15,17.27,746.63,Completed,4.7,UPI
R10197,D248,U199,Pune,2025-09-06,8.42,434.8,Cancelled,4.7,UPI
R10198,D206,U213,Pune,2025-10-03,4.5,463.62,Completed,5.0,Cash
R10199,D280,U588,Pune,2025-10-09,14.69,594.39,Completed,5.0,Cash
R10200,D260,U582,Pune,2025-09-22,10.04,792.06,Completed,4.4,Cash
R10201,D040,U406,Chennai,2025-08-21,17.34,218.62,Cancelled,4.6,UPI
R10202,D267,U795,Kochi,2025-10-09,4.39,85.05,Completed,4.9,UPI
R10203,D241,U027,Hyderabad,2025-08-01,17.28,786.18,Completed,4.9,Cash
R10204,D291,U379,Pune,2025-09-14,18.76,66.78,Completed,4.0,Cash
R10205,D135,U483,Chennai,2025-10-07,2.28,413.65,Completed,3.4,UPI
R10206,D189,U171,Hyderabad,2025-09-08,15.39,768.59,Completed,4.7,UPI
R10207,D203,U262,Bengaluru,2025-07-16,9.53,476.34,Completed,3.9,UPI
R10208,D094,U008,Pune,2025-07-10,5.82,160.71,Completed,4.7,Cash
R10209,D032,U439,Bengaluru,2025-08-18,5.28,197.48,Completed,3.8,UPI
R10210,D135,U324,Hyderabad,2025-09-13,9.1,126.89,Completed,3.8,UPI
R10211,D032,U297,Pune,2025-08-17,12.6,132.94,Completed,3.9,UPI
R10212,D203,U398,Pune,2025-08-11,6.21,647.09,Cancelled,4.6,Cash
R10213,D275,U245,Pune,2025-08-19,4.54,386.93,Completed,4.2,Cash
R10214,D283,U690,Bengaluru,2025-07-25,3.34,62.21,Completed,4.6,UPI
R10215,D064,U655,Pune,2025-07-01,8.88,174.42,Completed,4.0,UPI
R10216,D255,U319,Bengaluru,2025-09-11,2.74,230.28,Completed,3.5,UPI
R10217,D235,U141,Pune,2025-08-10,9.9,769.42,Completed,3.6,Cash
R10218,D144,U414,Hyderabad,2025-08-04,4.79,770.14,Completed,3.8,Card
R10219,D199,U460,Hyderabad,2025-09-25,14.91,747.32,Completed,4.0,UPI
R10220,D077,U713,Pune,2025-08-19,11.1,589.27,Completed,4.3,UPI
R10221,D162,U696,Pune,2025-07-22,14.36,599.0,Completed,3.9,UPI
R10222,D239,U366,Hyderabad,2025-10-01,15.43,482.77,Completed,4.7,UPI
R10223,D217,U331,Kochi,2025-09-30,10.66,732.74,Completed,4.3,UPI
R10224,D290,U018,Chennai,2025-09-18,7.42,563.04,Completed,3.5,UPI
R10225,D228,U654,Bengaluru,2025-08-25,17.22,753.78,Completed,4.4,Cash
R10226,D167,U678,Kochi,2025-07-08,6.83,167.81,Completed,4.3,UPI
R10227,D259,U183,Chennai,2025-09-18,2.36,98.07,Completed,3.1,UPI
R10228,D096,U434,Bengaluru,2025-07-02,8.3,553.69,Completed,3.9,UPI
R10229,D158,U149,Pune,2025-10-01,10.04,422.66,Completed,3.4,UPI
